DM_OPPTY_ID,activity,is_complete_yn,description,completed_date
130,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
131,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
132,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
133,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
134,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
135,ZOOM MEETING,N,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet","12,18,2022"
136,PHONE CALL,Y,It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout.,"12,18,2022"
137,EMAIL,Y,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humou","12,18,2022"
138,PRESENTATION,Y,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old","12,18,2022"
139,IN-PERSON MEETING,N,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","12,18,2022"
